1234,MT,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur
76,0,76,76,76,76,12,12,,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],3,6,2 4 3 2 2 4,6
77,5.2639864,77,77,77,77,13,13,,,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['4', '2', '2', '3', '4', '2']","[78.49350889999187, 78.80570850000367, 78.99746700000833, 81.38950489999843, 82.67745399998967, 83.7574953000003]",3,6,# # # # # #,None
78,0,78,78,78,78,14,14,,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],3,6,2 3 4 4 1 2,4
79,3.4079142,79,79,79,79,15,15,,,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['2', '1', '4', '4', '3', '2']","[92.65354040000238, 92.75752929999726, 94.19745919998968, 94.38933070001076, 96.01340170000913, 96.06145459998515]",3,6,# # # # # #,None
80,0,80,80,80,80,16,16,,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],3,6,2 1 1 2 4 1,6
81,1.8965314,81,81,81,81,17,17,,,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['2', '1', '1', '2', '4', '1']","[102.96555100000114, 103.18945919998805, 103.36544389999472, 104.08551750000333, 104.72550719999708, 104.86208240000997]",3,6,# # # # # #,None
82,0,82,82,82,82,18,18,,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],3,6,3 2 1 1 3 2,6
83,6.663855,83,83,83,83,19,19,,,,3,TRUE,0.5,acc,right,TRUE,2,1,4,ret,1,4,0,"['2', '3', '1', '1', '3', '2']","[112.4695522999973, 113.34174840000924, 113.52537879999727, 116.8774553000112, 119.0133746000065, 119.1334072999889]",3,6,# # # # # #,None
84,0,84,84,84,84,20,20,,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],3,6,1 4 1 4 2 1,4
85,1.3840661,85,85,85,85,21,21,,,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['1', '4', '1', '4', '2', '1']","[127.71751190000214, 127.99745500000427, 128.2855683999951, 128.46144159999676, 129.00536449998617, 129.1015780000016]",3,6,# # # # # #,None
86,0,86,86,86,86,22,22,,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],3,6,1 3 2 1 1 3,4
87,1.2239611,87,87,87,87,23,23,,,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['1', '3', '2', '1', '1', '3']","[137.69346320000477, 137.94148209999548, 138.36542379998718, 138.48549379999167, 138.8214372000075, 138.91742429998703]",3,6,# # # # # #,None
88,0,88,88,88,0,0,,,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],4,6,4 4 1 3 2 2,4
89,2.0639794,89,89,89,1,1,,,,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['4', '4', '1', '3', '2', '2']","[7.164542599988636, 7.396504400006961, 7.756533400010085, 7.908604399999604, 9.02852009999333, 9.228521999990335]",4,6,# # # # # #,None
90,0,90,90,90,2,2,,,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],4,6,3 2 1 3 4 3,4
91,5.8960581,91,91,91,3,3,,,,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['3', '4', '3', '1', '2', '3']","[19.140486999996938, 19.34864579999703, 23.364583499991568, 23.469044600002235, 24.98854590000701, 25.0365451000107]",4,6,# # # # # #,None
92,0,92,92,92,4,4,,,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],4,6,2 3 2 3 1 2,6
93,3.8155353,93,93,93,5,5,,,,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['2', '1', '3', '2', '3', '2']","[33.37307880001026, 33.49236510001356, 33.68449869999313, 36.80456580000464, 37.01238850000664, 37.18861410001409]",4,6,# # # # # #,None
94,0,94,94,94,6,6,,,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],4,6,4 4 4 2 2 1,6
95,1.5519433,95,95,95,7,7,,,,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['4', '4', '4', '2', '2', '1']","[43.652554500004044, 43.86063800001284, 44.06054810000933, 44.92456129999482, 45.10051729998668, 45.2044978000049]",4,6,# # # # # #,None
96,0,96,96,96,8,8,,,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],4,6,3 1 4 3 4 1,4
97,5.0319367,97,97,97,9,9,,,,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['3', '1', '4', '3', '4', '1']","[54.132579299999634, 54.260516899987124, 56.64455779999844, 56.68455740000354, 59.08462650000001, 59.16451599998982]",4,6,# # # # # #,None
98,0,98,98,98,10,10,,,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],4,6,3 1 4 2 4 3,6
99,1.7598954,99,99,99,11,11,,,,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['3', '1', '4', '2', '4', '3']","[66.16453750000801, 66.27659950000816, 66.49254800000926, 67.18066770001315, 67.38845269999001, 67.92443290000665]",4,6,# # # # # #,None
100,0,100,100,100,12,12,,,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],4,6,2 1 4 1 4 4,4
101,7.4561835,101,101,101,13,13,,,,,2,TRUE,0.5,acc,right,TRUE,2,1,5,ret,1,5,0,"['4', '4', '1', '4', '1', '3']","[76.36457090001204, 76.56459659998654, 80.07657219999237, 80.41251819999889, 83.54851829999825, 83.8207543999888]",4,6,# # # # # #,None
102,0,102,102,102,14,14,,,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],4,6,4 4 4 2 2 3,6
103,1.5361381,103,103,103,15,15,,,,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['3', '2', '2', '4', '4', '4']","[91.6044172999973, 91.9325347999984, 92.11651059999713, 92.78850059999968, 92.98054670001147, 93.1405553999939]",4,6,# # # # # #,None
104,0,104,104,104,16,16,,,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],4,6,4 2 3 2 4 3,4
105,3.7365749,105,105,105,17,17,,,,,2,TRUE,0.5,acc,right,TRUE,2,1,5,ret,1,5,1,"['4', '2', '3', '2', '3', '3']","[103.4765519000066, 103.7245200999896, 105.2125134000089, 105.30046229998698, 106.42054869999993, 107.21312679999392]",4,6,# # # # # #,None
106,0,106,106,106,18,18,,,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],4,6,4 4 2 3 3 4,4
107,5.0722774,107,107,107,19,19,,,,,2,TRUE,0.5,acc,right,TRUE,2,1,3,ret,1,3,0,"['4', '3', '4', '4', '4', '3']","[116.94838640000671, 117.20451320000575, 118.94055259999004, 119.1725940000033, 121.78052279999247, 122.02066380000906]",4,6,# # # # # #,None
108,0,108,108,108,20,20,,,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],4,6,3 3 3 1 1 2,6
